inst#,actual,predicted,error
1,15,12.466,-2.534
2,20,17.927,-2.073
3,350,358.842,8.842
4,253,244.695,-8.305
5,42,41.648,-0.352
6,41,39.79,-1.21
7,75,73.322,-1.678
8,138,141.053,3.053
9,44,43.373,-0.627
10,99,99.319,0.319
11,72,71.133,-0.867
12,25,23.572,-1.428
13,28,27.306,-0.694
14,18,25.262,7.262
15,120,123.261,3.261
16,42,42.174,0.174
17,26,26.095,0.095
18,23,21.054,-1.946
19,978,890.764,-87.236
20,25,26.989,1.989
21,21,19.255,-1.745
22,227,233.126,6.126
23,46,45.752,-0.248
24,190,182.429,-7.571
25,34,31.781,-2.219
26,181,191.198,10.198
27,749,827.269,78.269
28,82,80.669,-1.331
29,24,21.722,-2.278
30,253,245.19,-7.81
31,24,22.503,-1.497
32,41,41.236,0.236
33,25,24.955,-0.045
34,33,33.225,0.225
35,74,73.757,-0.243
36,34,31.696,-2.304
37,76,74.549,-1.451
38,86,85.209,-0.791
39,171,176.726,5.726
40,57,57.535,0.535
41,24,21.64,-2.36
42,23,23.143,0.143
43,22,22.726,0.726
44,126,127.231,1.231
45,603,642.025,39.025
46,88,86.505,-1.495
47,74,73.643,-0.357
48,919,833.976,-85.024
49,28,27.79,-0.21
50,360,363.877,3.877
51,181,190.978,9.978
52,157,153.608,-3.392
53,34,31.665,-2.335
54,29,27.939,-1.061
55,266,272.749,6.749
56,82,83.708,1.708
57,128,128.054,0.054
58,31,31.61,0.61
59,381,372.678,-8.322
60,136,142.152,6.152
61,426,456.462,30.462
62,32,31.655,-0.345
63,113,109.575,-3.425
64,28,29.551,1.551
65,52,54.069,2.069
66,64,65.401,1.401
67,40,42.17,2.17
68,46,46.393,0.393
69,29,29.972,0.972
70,220,212.771,-7.229
