inst#,actual,predicted,error
1,2,1.958,-0.042
2,3,2.787,-0.213
3,2,2.048,0.048
4,2,1.99,-0.01
5,3,3.028,0.028
6,2,1.999,-0.001
7,2,1.991,-0.009
8,2,1.984,-0.016
9,1,1.028,0.028
10,1,0.952,-0.048
11,1,0.974,-0.026
12,1,1.003,0.003
13,1,0.98,-0.02
14,2,1.925,-0.075
15,2,1.989,-0.011
16,1,0.981,-0.019
17,2,2.009,0.009
18,2,1.985,-0.015
19,2,2.011,0.011
20,2,2.296,0.296
21,1,1.014,0.014
22,3,3,0
23,3,2.994,-0.006
24,1,1.011,0.011
25,1,0.961,-0.039
26,2,2.006,0.006
27,3,3.005,0.005
28,1,0.998,-0.002
29,2,1.865,-0.135
30,2,1.964,-0.036
31,2,2,0
32,1,0.991,-0.009
33,1,1.009,0.009
34,3,3.011,0.011
35,2,2.012,0.012
36,3,2.998,-0.002
37,1,1.014,0.014
38,3,2.974,-0.026
39,3,3.018,0.018
40,2,1.896,-0.104
41,2,1.321,-0.679
42,1,1.012,0.012
43,1,1.025,0.025
44,3,2.888,-0.112
45,2,2.12,0.12
46,2,2.012,0.012
47,2,1.983,-0.017
48,2,1.903,-0.097
49,2,1.994,-0.006
50,2,1.972,-0.028
51,2,1.978,-0.022
52,1,1.019,0.019
53,2,1.985,-0.015
54,3,3.005,0.005
55,2,1.991,-0.009
56,3,3.076,0.076
57,2,1.077,-0.923
58,1,1.06,0.06
59,2,1.944,-0.056
